DMU,Year,Ticker,Firm,Sector,Current Ratio (C/R),Asset Turnover (A/T),Debt to Asset (D/A),Return (R),Risk (σ),Cluster,Efficiency Score (E)
633,2024,IAS,Integral Ad Science Holding Corp,50,3.687240876,0.443082719,0.18451115,-0.350333057,0.043450031,1,0.563767213421714
635,2024,ICAD,iCAD Inc,35,4.338597235,0.479921956,0.200489044,-0.005449599,0.049655361,1,0.47059897282926477
645,2024,IDYA,IDEAYA Biosciences Inc,35,21.63445775,0.004102104,0.040765311,-0.315123116,0.029835335,1,1.0
651,2024,IKNA,Ikena Oncology Inc,35,15.0844774,0.003926434,0.103004854,-0.19343841,0.034864592,1,0.5804990191739187
652,2024,IKT,Inhibikase Therapeutics Inc,35,2.321891311,0.013234287,0.424404961,0.891973411,0.070583695,1,0.8048418546580165
655,2024,IMMR,Immersion Corp,45,8.929218661,0.167154132,0.151248546,0.230620803,0.02956723,1,0.6136228495449988
656,2024,IMNM,Immunome Inc,35,7.470956258,0.039666852,0.144123743,-0.036064966,0.051017773,1,0.3280395992722847
673,2024,INVE,Identiv Inc,45,3.681240328,0.257280984,0.246896469,-0.783227619,0.036513822,1,0.5889685919065631
676,2024,IOVA,Iovance Biotherapeutics Inc,35,4.131673309,0.100796036,0.221594745,-0.090384096,0.0505447,1,0.4739026739321226
679,2024,IPGP,IPG Photonics Corp,45,8.883486831,0.410603381,0.100888706,-0.382279427,0.023034129,1,0.5136199496320257
682,2024,IPWR,Ideal Power Inc,20,18.86048409,0.006962025,0.105842259,-0.026145255,0.048593739,1,0.3581430946083566
695,2024,ITOS,iTeos Therapeutics Inc,35,14.97781737,0.050500041,0.129960772,-0.411523146,0.044461027,1,0.3226682798281719
706,2024,JANX,Janux Therapeutics Inc,35,44.61739878,0.021253983,0.057792869,1.58071721,0.091317125,1,0.7046025103033421
722,2024,KIDS,OrthoPediatrics Corp,35,5.395324097,0.422437827,0.170471357,-0.353520644,0.032228382,1,0.5864580700639217
730,2024,KOSS,Koss Corp,25,11.46472501,0.320539667,0.174888011,0.763302166,0.08139858,1,0.26930293227572644
731,2024,KPRX,Kiora Pharmaceuticals Inc,35,12.09178457,0.473002399,0.231252999,-0.428826455,0.057681039,1,0.1468930726872788
734,2024,KRON,Kronos Bio Inc,35,8.003392829,0.055528425,0.253653834,-0.233614903,0.052083891,1,0.2812545388442038
735,2024,KROS,Keros Therapeutics Inc,35,19.23206882,0.001377678,0.079478895,-1.002311966,0.089215616,1,0.19971270719743278
738,2024,KRYS,Krystal Biotech Inc,35,10.68364173,0.270486252,0.075317215,0.226084197,0.033801425,1,0.5005530888630241
743,2024,KYMR,Kymera Therapeutics Inc,35,7.529304774,0.105980472,0.187857446,0.461834229,0.038138285,1,0.6649423968224375
744,2024,KZR,Kezar Life Sciences Inc,35,9.975901098,0.026881566,0.160847074,-0.346203675,0.040231912,1,0.39360594500032403
745,2024,LAB,Standard BioTools Inc,35,3.449194621,0.250343937,0.301441788,-0.237891421,0.050856419,1,0.5171000002381847
748,2024,LASE,Laser Photonics Corporation,20,6.895314058,0.244153062,0.090476285,1.641075029,0.121204431,1,0.46777660128959725
749,2024,LASR,nLIGHT Inc,45,6.077938815,0.679566308,0.185445108,-0.229794415,0.035678686,1,0.4585541341200035
753,2024,LCID,Lucid Group Inc,25,4.245434462,0.085634547,0.487154671,-0.317851532,0.050351978,1,0.4409502409765931
768,2024,LGND,Ligand Pharmaceuticals Inc,35,15.75617486,0.173090965,0.113147564,0.393267338,0.02824482,1,0.6767326938571062
773,2024,LINK,Interlink Electronics,45,5.830115176,0.844653154,0.167104036,-0.280438529,0.056681891,1,0.265295540963127
781,2024,LMFA,LM Funding America Inc,45,4.189565217,0.35192977,0.111194889,-0.562667542,0.072445527,1,0.2540023758705214
793,2024,LPCN,Lipocine Inc,35,12.16806164,0.343813057,0.081657228,0.534323655,0.05784281,1,0.3484071680758724
796,2024,LQDA,Liquidia Corp,35,6.285285133,0.083733966,0.588581122,0.019751651,0.038280759,1,0.5430334278132701
806,2024,LUNG,Pulmonx Corp,35,7.405834134,0.464846503,0.37877147,-0.626151042,0.041440101,1,0.24084588439122032
811,2024,LWLG,Lightwave Logic Inc,45,17.46311885,0.002840113,0.111050904,-0.784118983,0.051628433,1,0.3253582375391458
812,2024,LXRX,Lexicon Pharmaceuticals Inc,35,9.511840965,0.015595838,0.403137063,-0.764839117,0.065366553,1,0.21555883460654912
813,2024,LYEL,Lyell Immunopharma Inc,35,15.5315664,9.27e-05,0.133315499,-1.192975023,0.066527471,1,0.4009870640349788
822,2024,MARA,MARA Holdings Inc,45,12.43659645,0.205663693,0.176398062,-0.312854507,0.066173127,1,0.14468145767193755
827,2024,MBLY,Mobileye Global Inc,25,5.627083333,0.122456612,0.039861293,-0.730106302,0.045635392,1,0.5950624141143628
837,2024,MDGL,Madrigal Pharmaceuticals Inc,35,7.215229391,0.078865859,0.258096692,0.307615656,0.039474688,1,0.5585755068736921
843,2024,MEIP,MEI Pharma Inc,35,6.719019425,0.80522123,0.230711255,-0.893263421,0.031829432,1,0.3869751713691043
852,2024,MGPI,MGP Ingredients Inc,30,5.808200989,0.521599351,0.377728002,-0.906433213,0.03039988,1,0.48952991917833005
853,2024,MGRM,Monogram Technologies Inc,35,5.298840049,0.024678837,0.187271805,-0.415262272,0.067504131,1,0.30020132577368547
865,2024,MNOV,Medicinova Inc,35,17.26185662,0.014242478,0.052521933,0.241162026,0.045730458,1,1.0
868,2024,MNTK,Montauk Renewables Inc,55,2.188352408,0.540865236,0.281599731,-0.807014131,0.040970702,1,0.7103763169117281
873,2024,MPWR,Monolithic Power Systems Inc,45,6.748222985,0.775755554,0.171633197,-0.013728907,0.034287801,1,0.45498039315709043
874,2024,MRAM,Everspin Technologies Inc,45,8.014268075,0.796127626,0.170827868,-0.313175916,0.026661455,1,0.4214692301698628
876,2024,MRIN,Marin Software Inc,45,3.533679429,1.068747701,0.316201046,-0.031182898,0.074447478,1,0.3296099203047104
877,2024,MRKR,Marker Therapeutics Inc,35,4.976322605,0.401085421,0.200951602,-0.562826104,0.057536008,1,0.28748154081387617
878,2024,MRNA,Moderna Inc,35,3.941359574,0.304991146,0.245025361,-0.995333895,0.037694207,1,0.49808024387428057
881,2024,MRVI,Maravai LifeSciences Holdings Inc,35,9.818264141,0.195667873,0.477402096,-0.212444317,0.057860797,1,0.16698896081541065
894,2024,MVIS,MicroVision Inc,45,4.692681579,0.073150091,0.249888326,-0.681630749,0.051824142,1,0.3635008998219663
896,2024,MXCT,MaxCyte Inc,35,11.71725354,0.177719836,0.129807505,-0.183922875,0.035773993,1,0.3320469755690263
914,2024,NEOG,Neogen Corp,35,3.854211504,0.200077502,0.310569996,-0.516575117,0.028403212,1,0.9352439375515476
915,2024,NEON,Neonode Inc,45,9.694741224,0.179457107,0.10227642,1.270538459,0.073679826,1,0.5673376243119143
916,2024,NEOV,NeoVolta Inc,20,57.4122807,0.503386809,0.017417876,1.183706109,0.063737697,1,1.0
931,2024,NSPR,InspireMD Inc,35,7.199705496,0.139338444,0.169086517,-0.029964759,0.035189648,1,0.4763841721695442
932,2024,NSSC,NAPCO Security Technologies Inc,45,7.358800554,0.957754665,0.143609086,0.064382864,0.03121317,1,0.4774569544024428
938,2024,NTLA,Intellia Therapeutics Inc,35,7.904084285,0.0433552,0.183834868,-0.971999652,0.039222076,1,0.41767751858403335
941,2024,NTRB,Nutriband Inc,35,4.86409396,0.16548957,0.109623534,0.710710334,0.065975357,1,0.5146164309997969
943,2024,NURO,NeuroMetrix Inc,35,12.95499321,0.192668175,0.077601749,0.142510081,0.037146682,1,0.42373844671843947
948,2024,NVEC,NVE Corp,45,28.56161932,0.41022952,0.019041769,0.121713899,0.022982213,1,1.0
951,2024,NVTS,Navitas Semiconductor Corp,45,4.816210821,0.201735863,0.145942312,-0.759522283,0.053016377,1,0.3198810441370399
958,2024,NXL,Nexalin Technology Inc,35,8.373527374,0.049074213,0.108610568,1.936533945,0.131458981,1,0.5221677050247829
959,2024,NXPL,NextPlat Corp,50,3.170575936,1.197370435,0.270813634,-0.471160339,0.055202095,1,0.44721794275856497
963,2024,OABI,OmniAb Inc,35,4.415669442,0.058453471,0.139418072,-0.568454747,0.028045534,1,1.0
965,2024,OBIO,Orchestra BioMed Holdings Inc,35,5.742119742,0.032524221,0.337796659,-0.786182016,0.056558201,1,0.30319991943618096
968,2024,OCGN,Ocugen Inc,35,1.977763821,0.085915757,0.41329592,0.201637367,0.060724299,1,0.7891840567454753
970,2024,OCUL,Ocular Therapeutix Inc,35,13.73156742,0.136654162,0.316734752,0.574063931,0.04728962,1,0.4330965127015129
978,2024,OLED,Universal Display Corporation,45,7.525139597,0.371008624,0.128874591,-0.235036555,0.026516953,1,0.5126089798845543
980,2024,OLPX,Olaplex Holdings Inc,30,10.60224729,0.247457213,0.508714295,-0.368169312,0.04898721,1,0.17870628898858362
996,2024,ORGN,Origin Materials Inc,15,14.04559533,0.080695503,0.092376626,0.415278673,0.066743302,1,0.2937474473149976
999,2024,ORMP,Oramed Pharmaceuticals Inc,35,6.637602322,0.007012164,0.146368423,-0.012320472,0.034657328,1,1.0
1003,2024,OSUR,OraSure Technologies Inc,35,11.46401175,0.4769445,0.091716906,-0.830135193,0.025832873,1,0.3882956817132236
1018,2024,PCRX,Pacira BioSciences Inc,35,4.026474866,0.43941388,0.463952554,-0.529753626,0.051048779,1,0.3976369216149518
1031,2024,PGEN,Precigen Inc,35,1.83888206,0.035821786,0.2902916,-0.230260991,0.046149531,1,1.0
1039,2024,PLAB,Photronics Inc,45,5.065322532,0.535436096,0.135100484,-0.269910531,0.028247969,1,0.8168377546443459
1045,2024,PLRX,Pliant Therapeutics Inc,35,14.27667558,0.003662634,0.159817314,-0.31020549,0.036920441,1,0.4663229068121366
1061,2024,POWI,Power Integrations Inc,45,10.1401617,0.495460612,0.087553431,-0.249610606,0.023710187,1,0.45949047363202405
1063,2024,POWW,AMMO Inc,25,4.111000408,0.337497734,0.110045946,-0.679417001,0.040117241,1,0.5077449579142773
1067,2024,PRAX,Praxis Precision Medicines Inc,35,11.51331455,0.005369348,0.079083297,1.303536654,0.047595488,1,1.0
1080,2024,PSNL,Personalis Inc,35,3.691263334,0.413775001,0.374331374,1.04145393,0.075984815,1,0.6210207880759526
1085,2024,PTGX,Protagonist Therapeutics Inc,35,13.78324963,0.587193347,0.106701552,0.499661876,0.031461407,1,0.5167616725731389
1091,2024,PULM,Pulmatrix Inc,35,6.477504203,0.436713626,0.331692838,1.275219522,0.058243069,1,0.7616189404899666
1092,2024,PXLW,Pixelworks Inc,45,4.598909741,0.636514732,0.348838029,-0.553727604,0.052330225,1,0.34448890736485543
1094,2024,PYXS,Pyxis Oncology Inc,35,7.869717442,0.080968249,0.205996144,-0.27802017,0.067991479,1,0.19627628620501017
1103,2024,QSI,Quantum-Si Incorporated,35,20.53042607,0.008494551,0.091718469,0.285216012,0.099468194,1,0.16899565183299833
1104,2024,QTRX,Quanterix Corp,35,10.17450132,0.32055492,0.17770736,-0.937696829,0.0406885,1,0.22020222692153285
1105,2024,QUBT,Quantum Computing Inc,45,1.271846864,0.005040546,0.07840596,2.917317638,0.108920571,1,1.0
1122,2024,REFR,Research Frontiers Inc,45,10.06864275,0.427543082,0.097215153,0.526543071,0.043264728,1,0.48215331413149365
1130,2024,RGEN,Repligen Corp,35,7.195580154,0.222646047,0.303119783,-0.219608006,0.029632583,1,0.48465370255671253
1135,2024,RGTI,Rigetti Computing Inc,45,4.271772724,0.074129252,0.267308202,2.804278221,0.089363377,1,1.0
1138,2024,RIOT,Riot Platforms Inc,45,7.443889886,0.121422486,0.059296254,-0.411649004,0.058643907,1,0.3049146242643184
1139,2024,RIVN,Rivian Automotive Inc,25,4.987201078,0.293007984,0.518300927,-0.461509009,0.047613007,1,0.37135528306771787
1140,2024,RKDA,Arcadia Biosciences Inc,30,4.329128241,0.320767689,0.343178128,0.710183351,0.068219883,1,0.5204438692605287
1142,2024,RLAY,Relay Therapeutics Inc,35,19.50523133,0.041566832,0.109121787,-1.056896545,0.048568589,1,0.2996940708612833
1143,2024,RLYB,Rallybio Corp,35,9.647598176,0.006190204,0.104138793,-0.916290794,0.064543397,1,0.3404489187556994
1145,2024,RMBS,Rambus Inc,45,7.341652337,0.416760175,0.175415797,-0.210579125,0.036437824,1,0.33242602227488527
1150,2024,RNA,Avidity Biosciences Inc,35,13.57705175,0.008858583,0.112110502,1.155204488,0.046145884,1,0.9143054210208292
1157,2024,RPID,Rapid Micro Biosystems Inc,35,6.179956784,0.211855231,0.184608317,-0.007747719,0.035807774,1,0.5556592679019259
1163,2024,RUM,Rumble Inc,50,5.43372402,0.336179938,0.194266757,1.097843927,0.068432171,1,0.6167736646130597
1166,2024,RVMD,Revolution Medicines Inc,35,15.0128193,0.000393556,0.106701542,0.437877828,0.026010386,1,1.0
1167,2024,RXRX,Recursion Pharmaceauticals Inc,35,4.911586966,0.096074072,0.272784319,-0.378476918,0.054726361,1,0.35051952257676317
1168,2024,RXST,RxSight Inc,35,11.10553831,0.52274716,0.106881753,-0.063938439,0.033227898,1,0.3054274117185621
1172,2024,SABS,SAB Biotherapeutics Inc,35,5.015358169,0.022332021,0.287294143,-0.612489301,0.066817424,1,0.28634991714941777
1173,2024,SAGE,Sage Therapeutics Inc,35,10.6446833,0.143326596,0.095704405,-1.420686902,0.045146832,1,0.2526142293832397
1186,2024,SCPH,scPharmaceuticals Inc,35,6.625340193,0.333219612,0.720070984,-0.590607531,0.040655645,1,0.29838684458349074
1189,2024,SCWO,374Water Inc,20,7.026058632,0.089006422,0.115980355,-0.791127578,0.052782588,1,0.295629126473498
1190,2024,SCYX,SCYNEXIS Inc,35,4.004376136,0.07555291,0.413459461,-0.602372142,0.043148463,1,0.5111038860197307
1191,2024,SDGR,Schrodinger Inc,35,4.361008389,0.266835588,0.314904788,-0.599468622,0.037524111,1,0.5386126420584705
1195,2024,SEER,Seer Inc,35,21.20082823,0.035450589,0.096089466,0.174559497,0.032558735,1,0.6634429419691794
1197,2024,SERA,Sera Prognostics Inc,35,2.223991833,0.001076781,0.286025619,0.31004333,0.049802932,1,1.0
1204,2024,SGHT,Sight Sciences Inc,35,11.79177771,0.516913259,0.307874767,-0.337256811,0.043440597,1,0.2049651141813796
1208,2024,SGMT,Sagimet Biosciences Inc,35,30.77852282,0.030828516,0.030507967,-0.169273827,0.098123307,1,0.2690601894816002
1217,2024,SIBN,SI-BONE Inc,35,9.016516401,0.694093454,0.265597323,-0.39638931,0.032542766,1,0.30806879554993954
1219,2024,SIGA,SIGA Technologies Inc,35,4.774000498,0.784776248,0.210794671,0.103076293,0.049977836,1,0.42761765760891807
1224,2024,SITM,SiTime Corp,45,5.625751669,0.193919958,0.234952191,0.602521997,0.03973551,1,0.8167328746197885
1230,2024,SLAB,Silicon Laboratories Inc,45,5.266542616,0.382096224,0.139560891,-0.029038106,0.029336306,1,0.8780919050509001
1231,2024,SLDP,Solid Power Inc,25,8.454125003,0.035828626,0.066350836,0.343907183,0.051705744,1,0.9317344759218226
1235,2024,SLP,Simulations Plus Inc,35,3.259673544,0.365851492,0.072254232,-0.467343501,0.030097001,1,1.0
1238,2024,SMLR,Semler Scientific Inc,35,7.232790643,0.695636779,0.075086825,0.200711842,0.060204774,1,0.264468235217595
1239,2024,SMMT,Summit Therapeutics Inc,35,4.82289935,3.27e-06,0.383474704,1.910944362,0.112003014,1,1.0
1249,2024,SNDX,Syndax Pharmaceuticals Inc,35,8.994733096,0.031088093,0.102887501,-0.502927656,0.033953028,1,0.7119305527295624
1262,2024,SOUN,SoundHound AI Inc,45,5.141639519,0.223414965,0.416061696,2.255332253,0.080005134,1,0.9078024385525045
1266,2024,SPRY,ARS Pharmaceuticals Inc,35,30.13152713,0.011409049,0.032755476,0.636937115,0.039572256,1,1.0
1273,2024,SRTS,Sensus Healthcare Inc,35,10.86581192,0.721524515,0.095731952,1.022133066,0.049227368,1,0.6768675269455424
1274,2024,SRZN,Surrozen Inc,35,6.294534015,0.22744719,0.546242857,0.346276301,0.062253434,1,0.3238120534252419
1279,2024,STAA,STAAR Surgical Co,35,5.810088348,0.671845605,0.204569194,-0.202091841,0.035925646,1,0.4911234946763498
1284,2024,STOK,Stoke Therapeutics Inc,35,5.966411644,0.064732264,0.251180166,0.632469183,0.05978851,1,0.5358487171812071
1298,2024,SWTX,SpringWorks Therapeutics Inc,35,6.756594416,0.207736115,0.124906232,-0.010188686,0.030630913,1,0.6390215496996283
1307,2024,TAIT,Taitron Components Inc,45,10.52622025,0.237176599,0.067690627,-0.233550346,0.014514104,1,1.0
1315,2024,TCRX,TScan Therapeutics Inc,35,7.255627047,0.030300701,0.386556451,-0.630361527,0.046760772,1,0.3466351348458816
